time,size,sex
1971.8958159992005,511,M
1916.5983498296619,357,M
1933.8041489202008,35,M
1667.1944858354943,8,M
1679.8370578798078,59,M
1954.9108260779371,109,M
1678.3339594220902,19,M
1029.256736656684,15,M
1985.5611848897015,59,M
822.2611173356185,27,M
1298.8595078238409,5,M
1939.211596993825,36,M
1286.3721937002094,22,M
1925.2191691589894,78,M
445.00920636283684,14,M
1951.3901389043615,627,M
847.455744327728,15,M
179.81666290109172,2,M
1966.4582113035142,568,M
1833.6171109003526,169,M
1999.4194857274133,21,M
1788.7229164982768,499,M
1965.4884982237463,322,M
636.3536859870115,15,M
1663.9713318046743,3,M
509.55288638999497,4,M
1901.4799100324649,17,M
1927.7106385817024,117,M
1691.729946789823,2,M
1712.4822427994416,6,M
1965.1462731751099,234,M
1111.7937158754378,41,M
1483.5958191380892,276,M
1983.1070705846748,39,M
1881.1395262849317,50,M
1778.186503730002,491,M
1973.8072426716833,469,M
1968.0313235904764,176,M
1996.8850507703967,69,M
1963.3250386804632,166,M
1745.083376857754,46,M
1806.0467138251001,80,M
1995.0028033481938,189,M
1836.735948004727,52,M
1658.944556487944,9,M
1004.198476490871,409,M
1611.0399862872328,276,M
617.8809526771702,4,M
272.319033693161,39,M
1954.3993747801214,212,M
1168.9779277876814,2,M
1799.1015942658985,31,M
1673.0795338082157,32,M
1838.5671297138392,23,M
756.9277390950865,14,M
1973.1502644547456,15,M
1735.501159506852,20,M
1941.8640789822452,32,M
888.1772188027751,211,M
1900.942482103139,18,M
1870.3988975510538,124,M
1953.767869091286,430,M
1853.2014176969724,36,M
1542.0777834849343,82,M
1684.970105190837,276,M
1525.4403944575997,16,M
1595.7725105930563,41,M
1942.2575998707116,379,M
1954.6383299062604,271,M
1609.0896294276813,39,M
330.87631920272116,14,M
1979.5077264675865,243,M
1910.4719271012705,14,M
1762.784138894604,174,M
1992.682378374205,93,M
1806.7295842154413,61,M
1780.106077842344,132,M
1736.7839804195057,61,M
1932.8826612091414,27,M
602.5673667067348,27,M
1957.264550268783,106,M
1973.2203946194352,315,M
1704.0680942775211,61,M
1984.550326819288,347,M
1874.6537600826077,203,M
1919.121191337985,268,M
1989.8661587585295,13,M
1109.7719642126403,4,M
1385.910864863508,409,M
1919.203242631816,168,M
1884.3561010429112,168,M
1820.0941119901638,46,M
1973.5055070726967,180,M
1547.9407643616057,211,M
1968.6755247749004,42,M
1926.4500801708346,332,M
1790.867042596462,59,M
1964.0454696853928,161,M
1869.6807676980259,134,M
1993.504489578291,236,M
1998.9913632849539,201,M
1858.297846854125,52,M
1815.9336438656221,16,M
1991.3711243637488,124,M
1416.8640588155176,36,M
1649.8369570214625,39,M
1866.201959279825,332,M
1494.0708072330278,2,M
1868.8121318368362,409,M
1932.7847826432221,210,M
1961.3207178822659,436,M
1598.2550031193505,203,M
1942.2891744098754,61,M
1955.6945254931952,205,M
849.1339062342045,2,M
1656.487818204222,372,M
1947.9423066146376,593,M
1959.6960641785236,40,M
729.5154038435278,211,M
1919.5281440391345,411,M
1788.8916769633788,15,M
1972.1316257729784,49,M
1979.2962215026466,190,M
1077.0084850409257,22,M
1890.9300116513718,7,M
1239.2341994305866,14,M
1574.0596139674387,27,M
1468.3558145385848,3,M
94.59248265370881,2,M
525.2527674595345,14,M
1944.4635893436832,424,M
1953.1006562714147,238,M
1756.2753242951067,172,M
1940.5061027537645,77,M
1730.0085170568284,41,M
1863.4076205571464,60,M
1985.320405309062,168,M
1987.886154739257,226,M
1928.404847597897,196,M
