time,size,sex
19418.172553477092,482,M
13111.1116842704,131,M
19994.95859232498,5718,M
16809.46813961858,202,M
17599.459551817516,2541,M
14904.508342898176,10,M
19723.44526397972,626,M
18023.67859023039,221,M
19249.445900683902,158,M
11616.509645318614,93,M
19874.347517271955,3143,M
19928.679324221328,554,M
19140.359475121753,106,M
13270.630412710052,59,M
19957.836096465282,2749,M
5481.321235721457,55,M
19134.520710405628,429,M
18670.072024322853,292,M
18891.12318463694,258,M
19590.176889706312,943,M
18182.946714661128,438,M
16268.40402367032,17,M
18353.576140511148,524,M
19878.945801647347,6199,M
19717.94417057603,5398,M
14426.159866465146,187,M
18715.680553801973,1598,M
18945.98927582825,116,M
15650.999045395136,46,M
18687.22000847305,436,M
19995.60549307518,1237,M
19995.606398114625,369,M
1601.000007782493,13,M
18623.278686220146,26,M
15695.297321785903,60,M
16656.327848671994,364,M
19554.363632467725,358,M
16375.41079821385,37,M
19949.317557433584,926,M
17812.10621545581,36,M
5252.285645299677,5,M
17246.450721337915,217,M
19926.293981527342,357,M
16892.886658788047,263,M
16439.305620136616,326,M
19739.380554524934,147,M
19924.24641035524,509,M
6020.8675932209635,5,M
19908.74760721023,148,M
19376.91886195816,387,M
19931.957212556234,1928,M
19763.20341206381,719,M
19943.343205167756,5830,M
17135.026748729477,40,M
3529.6174682666983,13,M
19829.204270615777,6479,M
19830.724766134415,107,M
19961.34243174285,437,M
19184.220595332023,15,M
19889.132005779626,1448,M
13510.201329815292,64,M
19064.965261005764,161,M
13476.895665611773,3,M
19934.700763448134,97,M
19907.8046277314,2116,M
18048.50955116411,70,M
19894.80276782554,5692,M
19787.627451712975,328,M
19907.480254065835,41,M
17893.5614862051,217,M
11202.824943567965,7,M
14420.865241726058,135,M
13960.898911600889,263,M
19501.56630264701,626,M
18540.49006939525,5167,M
4023.6675055898286,64,M
19603.544680052346,952,M
13620.290532697984,7,M
19812.071018832412,7087,M
19695.713371720387,1541,M
15475.487164632877,221,M
12775.036721945224,39,M
8675.886625147063,64,M
17161.48009115059,364,M
19791.453843139276,2969,M
14087.94491555596,2541,M
19654.557757798444,632,M
19992.67011431345,890,M
19895.23774697893,2066,M
19928.770372267656,212,M
15292.197518329314,28,M
19924.951382121464,5099,M
19966.889945934785,6936,M
7579.322666541058,59,M
19285.171969314015,250,M
19432.562160313508,9,M
19834.42237903825,337,M
18994.18870493686,1791,M
19999.561315100043,6295,M
15847.759367049272,155,M
10793.677482234001,103,M
19587.58815640636,558,M
19996.80265273926,913,M
18368.21879331899,55,M
19782.492489953274,371,M
18056.950647164656,68,M
19909.90598840555,3748,M
19948.064711361112,7117,M
19856.381372524113,4892,M
19986.95090749748,5584,M
19499.652535565263,1436,M
10136.517967671762,2,M
15846.59422251485,84,M
19918.375430395194,1728,M
6684.902423163989,22,M
19233.03889368916,4005,M
17746.44773476101,220,M
19786.372507278298,615,M
19803.318861126107,3582,M
15301.89085646193,58,M
12856.24406342241,2,M
17007.893463123863,2,M
6345.961528401568,5,M
16181.455801790982,120,M
12425.290756964569,39,M
11499.994858311318,153,M
17998.644857070587,151,M
19774.670221308716,430,M
19736.326423618913,4535,M
18127.09392426994,56,M
18858.31311562792,84,M
10335.181323571094,6,M
19792.55358874067,503,M
13215.594974356793,64,M
16149.944854168176,102,M
19000.928357994126,11,M
19796.061727262768,1528,M
16005.83514045502,6,M
18809.19020061528,180,M
19869.62828876398,422,M
19927.708017680914,4515,M
10260.426846255163,110,M
19770.15029181633,358,M
19967.069596598325,3522,M
19219.879354181005,2454,M
19984.715813646235,2453,M
16974.93142779063,2,M
19639.816426556743,121,M
12151.66374469538,9,M
16763.83810776186,286,M
19018.116491712197,2229,M
17577.821557282958,116,M
19021.710525672614,19,M
16916.22393526172,12,M
19109.316703718232,118,M
18477.704824761644,119,M
14605.329391232846,12,M
19961.26663140924,2165,M
19952.672102509114,255,M
10142.265069531039,13,M
19926.900842803847,5384,M
14423.246146192632,71,M
19451.84339744345,2771,M
19207.773427247706,1168,M
